namaste_code,namaste_system,icd_code,relationship
SP54(EC-3.2),ayurveda,SP54,equivalent
SP53(EC-3.3),ayurveda,SP53,equivalent
SP52(EC-3.4),ayurveda,SP52,equivalent
EC-3.5(SP5Y),ayurveda,SP5Y,equivalent
EC-3.6(SP5Y),ayurveda,SP5Y,equivalent
EC-3.7(SP5Y),ayurveda,SP5Y,equivalent
EC-3.8(SP5Y),ayurveda,SP5Y,equivalent
SP59(EC-3.9),ayurveda,SP59,equivalent
SP57(EC-3.10),ayurveda,SP57,equivalent
EC-3.10.1(SP57),ayurveda,SP57,equivalent
SP58(EC-3.10.2),ayurveda,SP58,equivalent
EC-3.10.3(SP57),ayurveda,SP57,equivalent
EC-3.10.4(SP57),ayurveda,SP57,equivalent
EC-3.10.4.1(SP57),ayurveda,SP57,equivalent
EC-3.10.4.2(SP57),ayurveda,SP57,equivalent
EC-3.10.4.3(SP57),ayurveda,SP57,equivalent
EC-3.10.5(SP57),ayurveda,SP57,equivalent
EC-3.10.5.1(SP57),ayurveda,SP57,equivalent
EC-3.10.5.3(SP57),ayurveda,SP57,equivalent
EC-3.10.6(SP57),ayurveda,SP57,equivalent
EC-3.11(SP57),ayurveda,SP5Y,equivalent
SN11(EC-4),ayurveda,SN11,equivalent
SR5D(EC-4.5),ayurveda,SR5D,equivalent
SL80(EC-5),ayurveda,SL80,equivalent
SP11(EC-6),ayurveda,SP11,equivalent
SR51(ED-1),ayurveda,SR51,equivalent
SP99(ED-2.2),ayurveda,SP99,equivalent
ED-2.4,ayurveda,SP97,equivalent
ED-2.5,ayurveda,SP9Y,equivalent
SN92(ED-2.9),ayurveda,SN92,equivalent
SQ01(ED-2.14),ayurveda,SQ01,equivalent
ED-2.19,ayurveda,SK00,equivalent
ED-2.20,ayurveda,SQ10,equivalent
SM41(ED-3),ayurveda,SM41,equivalent
ED-3.1(SM41),ayurveda,SM41,equivalent
ED-3.2(SM41),ayurveda,SM41,equivalent
ED-3.3(SM41),ayurveda,SM41,equivalent
ED-3.4(SM41),ayurveda,SM41,equivalent
ED-3.5(SM41),ayurveda,SM41,equivalent
ED-4.2.1(SN49),ayurveda,SN49,equivalent
ED-4.2.1(SN49),ayurveda,SN49,equivalent
ED-4.2.1(SN49),ayurveda,SN49,equivalent
ED-4.2.3(SN49),ayurveda,SN49,equivalent
ED-4.2.3(SN49),ayurveda,SN49,equivalent
ED-4.2.4(SN49),ayurveda,SN49,equivalent
ED-4.2.4(SN49),ayurveda,SN49,equivalent
ED-4.2.5(SN49),ayurveda,SN49,equivalent
ED-4.2.6(SN49),ayurveda,SN49,equivalent
SN4A(ED-4.2.7),ayurveda,SN4A,equivalent
ED-4.2.8,ayurveda,SN4J,equivalent
SN4B(ED-4.3.1),ayurveda,SN4B,equivalent
ED-4.3.2(SN5Y),ayurveda,SN5Y,equivalent
ED-4.3.3(SN4A),ayurveda,SN4A,equivalent
ED-4.3.4(SN9Y),ayurveda,SN9Y,equivalent
SN4U(ED-4.3.6),ayurveda,SN4U,equivalent
ED-4.3.7(SN5Y),ayurveda,SN5Y,equivalent
SN46(ED-4.3.8),ayurveda,SN46,equivalent
ED-4.3.9(SN5Y),ayurveda,SN5Y,equivalent
SN43 (ED-4.3.10),ayurveda,SN43,equivalent
ED-4.3.11(SN5Y),ayurveda,SN5Y,equivalent
SN49(ED-4.4),ayurveda,SN49,equivalent
ED-5(SN4D),ayurveda,SN4D,equivalent
SL81(ED-7),ayurveda,SL81,equivalent
ED-8(SP11),ayurveda,SP10,equivalent
ED-8.5.1(SP11),ayurveda,SP11,equivalent
ED-8.5.2(SP14),ayurveda,SP14,equivalent
ED-9,ayurveda,SP90,equivalent
SM56(ED-9.7.1),ayurveda,SM56,equivalent
SM80(ED-9.7.6),ayurveda,SM80,equivalent
SM40(ED-9.7.9),ayurveda,SM40,equivalent
ED-10 (SN5Y),ayurveda,SN5Y,equivalent
SN31 (ED-11),ayurveda,SN31,equivalent
SM44 (ED-12),ayurveda,SM44,equivalent
SM44 (ED-12),ayurveda,SM44,equivalent
SM01 (ED-13),ayurveda,SM01,equivalent
ED-14,ayurveda,SN4K,equivalent
ED-15,ayurveda,SN4K,equivalent
SM52 (ED-16),ayurveda,SM52,equivalent
ED-17,ayurveda,SP9Y,equivalent
ED-18 (SL8Y),ayurveda,SL8Y,equivalent
SN47 (ED-19),ayurveda,SN47,equivalent
ED-20,ayurveda,SP9Y,equivalent
ED-20.7 (SM01),ayurveda,SM01,equivalent
SR52 (EE-1),ayurveda,SR52,equivalent
SP72 (EE-2),ayurveda,SP72,equivalent
SM53 (EE-3),ayurveda,SM53,equivalent
EE-3.4 (SM53),ayurveda,SM53,equivalent
EE-3.4 (SM53),ayurveda,SM53,equivalent
EE-3.5 (SM53),ayurveda,SM53,equivalent
EE-3.6 (SM53),ayurveda,SM53,equivalent
EE-3.7 (SM53),ayurveda,SM53,equivalent
EE-3.7 (SM53),ayurveda,SM53,equivalent
EE-3.10 (SM53),ayurveda,SM53,equivalent
EE-3.13 (SM7Y),ayurveda,SM7Y,equivalent
SN06 (EE-3.14),ayurveda,SN06,equivalent
SK6S (EE-3.16),ayurveda,SK6S,equivalent
SP71 (EE-4),ayurveda,SP71,equivalent
SP70 (EE-4.4),ayurveda,SP70,equivalent
SL70 (EE-4.5),ayurveda,SL70,equivalent
SR53 (EF-1),ayurveda,SR53,equivalent
SM8D (EF-2),ayurveda,SM8D,equivalent
EF-2.2 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.1 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.2 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.3 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.4 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.5 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.6 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.7 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.8 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.9 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.10 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.11 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.12 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.13 (SM8D),ayurveda,SM8D,equivalent
EF-2.2.14 (SM8D),ayurveda,SM8D,equivalent
EF-2.3 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.1 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.2 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.2 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.3 (SM8D),ayurveda,SM8D,equivalent
SM8A (EF-2.3.4),ayurveda,SM8A,equivalent
EF-2.3.5 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.6 (SM8D),ayurveda,SM8D,equivalent
EF-2.3.7 (SM8D),ayurveda,SM8D,equivalent
EF-2.4 (SM8D),ayurveda,SM8D,equivalent
EF-2.4.1 (SM8D),ayurveda,SM8D,equivalent
EF-2.4.2 (SM8D),ayurveda,SM8D,equivalent
EF-2.4.3 (SM8D),ayurveda,SM8D,equivalent
EF-2.4.5 (SM8D),ayurveda,SM8D,equivalent
EF-2.5 (SN92),ayurveda,SN92,equivalent
SN04 (EF-2.5.6),ayurveda,SN04,equivalent
SP64 (EF-3),ayurveda,SP64,equivalent
SR5C (EF-5),ayurveda,SR5C,equivalent
SR54 (EG-1),ayurveda,SR54,equivalent
EG-2 (SP0Y),ayurveda,SP0Y,equivalent
SR55 (EH-1),ayurveda,SR55,equivalent
EH-2 (SP0Y),ayurveda,SP0Y,equivalent
SR56 (EI-1),ayurveda,SR56,equivalent
SN02 (EI-2),ayurveda,SN02,equivalent
EI-4 (SN00),ayurveda,SN00,equivalent
SP90 (EI-4.13),ayurveda,SP90,equivalent
SN30 (EI-5),ayurveda,SN30,equivalent
SN01 (EI-6),ayurveda,SN01,equivalent
EI-6.2 (SN3Y),ayurveda,SN3Y,equivalent
EI-6.3 (SN3Y),ayurveda,SN3Y,equivalent
EI-6.4 (SN3Y),ayurveda,SN3Y,equivalent
EI-6.5 (SN0Y),ayurveda,SN0Y,equivalent
EI-6.6 (SN0Y),ayurveda,SN0Y,equivalent
EI-6.7 (SN0Y),ayurveda,SN0Y,equivalent
SM3G (EI-6.8),ayurveda,SM3G,equivalent
EI-6.9 (SN0Y),ayurveda,SN0Y,equivalent
SR5B (EJ-1),ayurveda,SR5B,equivalent
SM8C (EJ-2),ayurveda,SM8C,equivalent
EJ-2.2 (SM8C),ayurveda,SM8C,equivalent
EJ-2.3 (SM8C),ayurveda,SM8C,equivalent
EJ-2.4 (SM8C),ayurveda,SM8C,equivalent
EJ-2.5 (SM8C),ayurveda,SM8C,equivalent
SM82 (EJ-3),ayurveda,SM81,equivalent
SM89 (EJ-3.1),ayurveda,SM89,equivalent
EJ-3.2 (SM82),ayurveda,SM82,equivalent
EJ-3.3 (SM88),ayurveda,SM88,equivalent
SM8E (EJ-3.4),ayurveda,SM8E,equivalent
EJ-3.5 (SM88),ayurveda,SM88,equivalent
SM8B (EJ-3.7),ayurveda,SM8B,equivalent
EJ-3.8 (SM87),ayurveda,SM87,equivalent
EJ-3.8 (SM87),ayurveda,SM87,equivalent
SM88 (EJ-3.9),ayurveda,SM88,equivalent
EJ-3.10 (SM8Y),ayurveda,SM8Y,equivalent
EJ-3.10 (SM8Y),ayurveda,SM8Y,equivalent
SN09 (EJ-3.11),ayurveda,SN09,equivalent
EJ-3.12 (SM52),ayurveda,SM52,equivalent
EJ-3.13 (SM82),ayurveda,SM82,equivalent
SM87 (EJ-4),ayurveda,SM87,equivalent
SP63 (EK-2),ayurveda,SP63,equivalent
SP92 (EK-3),ayurveda,SP92,equivalent
SM32 (EK-4),ayurveda,SM32,equivalent
SM32 (EK-4),ayurveda,SM32,equivalent
SM32 (EK-4),ayurveda,SM32,equivalent
EK-4.2 (SM32),ayurveda,SM32,equivalent
EK-4.3 (SM32),ayurveda,SM32,equivalent
EK-4.4 (SM32),ayurveda,SM32,equivalent
EK-4.5 (SM32),ayurveda,SM32,equivalent
SM42 (EK-4.6),ayurveda,SM42,equivalent
EK-4.7 (SM32),ayurveda,SM32,equivalent
EK-4.8 (SM32),ayurveda,SM32,equivalent
EK-4.8 (SM32),ayurveda,SM32,equivalent
EK-4.8 (SM32),ayurveda,SM32,equivalent
EK-4.10 (SM32),ayurveda,SM32,equivalent
EL-2.5 (SM9Y),ayurveda,SM9Y,equivalent
EL-2.6 (SM9Y),ayurveda,SM9Y,equivalent
EL-2.8 (SM94),ayurveda,SM94,equivalent
SM90 (EL-2.9),ayurveda,SM90,equivalent
SM90 (EL-2.9),ayurveda,SM90,equivalent
SM96 (EL-2.10),ayurveda,SM96,equivalent
SN12 (EL-2.12),ayurveda,SN12,equivalent
SM97 (EL-2.13),ayurveda,SM97,equivalent
SM9B (EL-2.14),ayurveda,SM9B,equivalent
SM91 (EL-2.15),ayurveda,SM91,equivalent
EL-2.17 (SM9A),ayurveda,SM9A,equivalent
EL-2.17 (SM9A),ayurveda,SM9A,equivalent
EL-2.19 (SM9A),ayurveda,SM9A,equivalent
EL-2.19 (SM9A),ayurveda,SM9A,equivalent
SM9A (EL-2.20),ayurveda,SM9A,equivalent
SM9A (EL-2.20),ayurveda,SM9A,equivalent
EL-2.22 (SM94),ayurveda,SM94,equivalent
SM94 (EL-2.24),ayurveda,SM94,equivalent
EL-2.26 (SM9Y),ayurveda,SM9Y,equivalent
EL-2.26 (SM9Y),ayurveda,SM9Y,equivalent
SM92 (EL-2.27),ayurveda,SM92,equivalent
SM99 (EL-2.28),ayurveda,SM99,equivalent
SM98 (EL-4),ayurveda,SM98,equivalent
SM98 (EL-4),ayurveda,SM98,equivalent
SM93 (EL-5),ayurveda,SM93,equivalent
EL-9 (SN1Y),ayurveda,SN1Y,equivalent
SM9C (EL-9.1),ayurveda,SM9C,equivalent
SR5E (EM-1),ayurveda,SR5E,equivalent
SQ03 (EM-2),ayurveda,SQ03,equivalent
SQ41 (EM-2.3),ayurveda,SQ41,equivalent
SQ04 (EM-2.4),ayurveda,SQ04,equivalent
SK31 (EM-3),ayurveda,SK31,equivalent
EM-4 (SQ0Y),ayurveda,SQ0Y,equivalent
EM-4 (SQ0Y),ayurveda,SQ0Y,equivalent
SQ20 (EM-5),ayurveda,SQ20,equivalent
SQ20 (EM-5),ayurveda,SQ20,equivalent
EM-6 (SQ2Y),ayurveda,SQ2Y,equivalent
SP98 (EM-7),ayurveda,SP98,equivalent
EM-7.2 (SP98),ayurveda,SP98,equivalent
EM-7.3 (SP98),ayurveda,SP98,equivalent
EM-7.4 (SP98),ayurveda,SP98,equivalent
EM-7.5 (SP98),ayurveda,SP98,equivalent
EM-7.6 (SP98),ayurveda,SP98,equivalent
EM-7.7 (SP98),ayurveda,SP98,equivalent
EM-7.8 (SP98),ayurveda,SP98,equivalent
EM-7.9 (SP98),ayurveda,SP98,equivalent
SQ10 (EM-9),ayurveda,SQ10,equivalent
SK10 (EM-11),ayurveda,SK10,equivalent
F-6 (SK00),ayurveda,SK00,equivalent
F-7 (SK00),ayurveda,SK00,equivalent
SK01 (F-8),ayurveda,SK01,equivalent
F-9 (SK00),ayurveda,SK00,equivalent
F-10 (SK00),ayurveda,SK00,equivalent
F-11 (SK52),ayurveda,SK52,equivalent
F-12 (SK00),ayurveda,SK00,equivalent
SK50 (FA),ayurveda,SK50,equivalent
SN73 (FA-2),ayurveda,SN73,equivalent
