namaste_code,name
C-87,Dūd al-Asnān/ Qādiḥ
C-88,Waram al-Litha
C-89,Litha Dāmiya
C-90,Qurūḥ al-Litha
C-91,Nawāṣīr al-Litha
C-92,Istirkhā’ al-Litha
C-93,Laḥm Zā’id fi’l Litha
C-94,Taqayyuḥ al-Litha
C-95,Bolas
C-96,Fārūlas
C-97,Khunāq/ Dhabḥa
C-97.1,Khunāq Wabā’ī/Waram al-Ḥanjara Ḥādd Ghishā’ī/Khunāqī
C-97.2,Khunāq Kalbī
C-98,Waram-i-Ḥalaq
C-98.1,Waram al-Ḥalaq Khārijī
C-99,Khurāj Ḥalaqī Khalfī
C-100,Suqūṭ al-Lahāh
C-101,Waram-i-Lahāt
C-101.1,Waram-i-Lahāt Damawī
C-101.2,Waram-i-Lahāt Ṣafrāwī
C-101.3,Waram-i-Lahāt Balghamī
C-101.4,Waram-i-Lahāt Sawdāwī
C-101.5,Waram-i-Lahāt Nazlī
C-102,Tashannuj al-Bal‘ūm
C-103,Tashannuj al-Ḥanjara
C-104,Waram al-Ḥanjara
C-104.1,Waram al-Ḥanjara Ḥādd
C-104.2,Waram al-Ḥanjara Ḥādd Nazlī
C-104.3,Waram al-Ḥanjara Ḥādd Tahabbujī
C-105,Istirkhā’ al-Ḥanjara
C-106,Qadhā al-Ḥanjara
C-107,Waram al-Lawzatayn
C-108,Waja‘ al-Ḥalaq
C-109,Iltihāb-i-Tajāwīf Ḥulqūmī Anfī
C-110,Wābila/Waja‘ al-‘Unuq ‘Aṣabī
C-111,Ghuṣṣa al-Ṭa‘ām
C-112,Sharq
C-113,Bal‘ al-Ibra
C-114,Gharq al-Mā’
C-115,Gulūbasta
C-116,Tashabbuth al-‘Alaq wa’l Shawk fi’l Ḥalaq
C-117,Qurūḥ wa Buthūr al-Ḥalaq
C-118,Sozish-i-Ḥalaq/ Ḥurqa al-Ḥalaq
C-119,Khushūna al-Ḥalaq
C-120,Buḥḥa al-Ṣawt/ Buḥūḥa al-Ṣawt
C-121,Qaṣr al-Ṣawt
C-122,‘Usr al-Bal‘/‘Usr al-Izdirār
C-123,Khalal al-Ṣawt
C-124,Khushūna al-Ṣawt
C-125,Inqiṭā‘ al-Ṣawt
C-126,Ghilẓa al-Ṣawt
C-127,Diqqa al-Ṣawt
C-128,Kudūra al-Ṣawt
C-129,Irti‘āsh al-Ṣawt
D,Amrāḍ-i-Niẓām-i-Tanaffus
D-1,Waram wa Qurūḥ Qaṣaba al-Ri’a
D-2,Ḍu‘f al-Ri’a
D-3,Nafas
D-3.1,Nafas Sarī‘
D-3.2,Nafas Shāhiq/ Nafas ‘Ālī/ Nafas ‘Aẓīm
D-3.3,Nafas Ṣaghīr
D-3.4,Nafas ‘Asir
D-3.5,Nafas Ghayr Muntaẓim/ Nafas Mukhtalif
D-3.6,Nafas Qaṣīr
D-3.7,Nafas Mutatābi‘/Nafas Mutawātir
D-3.8,Nafas Mutaḍā‘if
D-3.9,Nafas Mutafāwit
D-3.10,Nafas Mumtalī
D-3.11,Nafas Murta‘ish
D-3.12,Nafas Muntin
D-3.13,Nafas Munqaṭi‘
D-3.14,Nafas Khunāqī
D-3.15,Nafas Mustakrah
D-3.16,‘Usr al-Tanaffus
D-3.17,Sū’ al-Tanaffus
D-3.18,Nafas Mankharī
D-3.19,Nafas Muntaṣif
D-4,Ḍīq al-Nafas/ Dama/ Nafas Ḍayyiq
D-5,Intiṣāb al-Nafas
D-6,Rabw
D-6.1,Rabw Balghamī/ Rabw Nazlī
D-6.2,Rabw Dukhānī
D-6.3,Rabw Rīḥī
D-6.4,Rabw Istirkhā’ī
D-6.5,Rabw Yubsī
D-6.6,Rabw Waramī
D-6.7,Rabw Ḥārr
D-7,Su‘āl-o-Surfa
D-7.1,Su‘āl Wabā’ī
D-7.2,Su‘āl al-Aṭfāl
D-7.3,Surfa Nazliyya Ḥārra
D-7.4,Surfa Nazliyya Bārida
D-7.5,Surfa Ruṭūbiyya
D-7.6,Surfa Yubsiyya
D-8,Khushūna al-Qaṣaba
D-9,Kharkhara
D-10,Nafth al-Dam
D-11,Shūṣa
D-12,Jarayān al-Dam fī Jirm al-Ri’a
D-13,Jarayān al-Dam Ri’wī Dākhilī
D-14,Dhāt al-Ri’a
D-14.1,Dhāt al-Ri’a Faṣṣī
D-14.2,Dhāt al-Ri’a Fuṣayṣī
D-14.3,Dhāt al-Ri’a Muzmin
D-15,Sill
D-15.1,Sill Ghayr Ḥaqīqī
D-16,Nafth al-Midda
D-17,Dhāt al-Janb
D-17.1,Dhāt al-Janb Ḥaqīqī/ Dhāt al-Janb Khāliṣ
D-17.2,Dhāt al-Janb Ghayr Ḥaqīqī/Dhāt al-Janb Ghayr Khāliṣ
D-17.3,Dhāt al-Janb Wabā’ī
D-17.4,Dhāt al-Janb Ṣadīdī
D-17.5,Dhāt al-Janb Muḍā‘af
D-18,Ijtimā‘ al-Mā’ fi’l-Ri’a/Udhīmā Ri’wiyya
D-19,Buthūr al-Ri’a
D-20,Waram Ri’a al-Aṭfāl
D-21,Dhāt al-Ṣadr
D-22,Dhāt al-‘Arḍ
D-23,Barsām
D-24,Jumūd-i-Ṣadr/ Bard-i-Ṣadr
D-25,Shahīqa
D-26,Qīḥ al-Ṣadr
D-27,Hubūṭ al-Ri’a
D-28,Hubūṭ Wasī‘
D-29,Tadarrun Ri’wī
D-30,Maytūta Ri’wiyya
D-31,Tadarrun ‘Umūmī
D-32,Ittisā‘ al-Shu‘ab
D-33,Iltihāb al-Shu‘ab Ḥādd
D-34,Iltihāb al-Shu‘ab Muzmin
D-35,Nafkha al-Ri’a
D-36,Ḍīq al-Nafas Shu‘abī
D-37,Sal‘a al-Shu‘ab Saraṭāniyya
D-38,Sal‘a Shu‘ba al-Ri’a Ghudadiyya
D-39,Ikhtilāj al-Qaṣaba
D-40,Irti‘āsh al-Qaṣaba
D-41,Tamaddud Ghayr Kāmil
E,Amrāḍ-i-Qalb wa Dawrān-i-Khūn
E-1,Waja‘ al-Qalb
E-2,Khafaqān
E-2.1,Khafaqān Ḥārr
E-2.2,Khafaqān Bārid
E-2.3,Khafaqān Rīḥī-o-Bukhārī
E-2.4,Khafaqān Suddī
E-2.5,Khafaqān Ḍu‘fī
E-2.6,Khafaqān Ḥissī
E-2.7,Khafaqān Shirkī
E-3,Ghashī
E-3.1,Ghashī Imtilā’ī
E-3.2,Ghashī Istifrāghī
E-3.3,Ghashī Sū’-i-Mizājī
E-3.4,Ghashī Waja‘ī-o-Waramī
E-3.5,Ghashī Suddī
E-3.6,Ghashī Jū‘ī
E-3.7,Ghashī Ta‘bī-o-Yubsī
E-3.8,Ghashī Nafsānī
E-3.9,Ghashī Mi‘dī
E-3.10,Ghashī Ikhtināqī
E-3.11,Ghashī Ḥummī
E-3.12,Ghashī Sammī
E-4,Suqūṭ al-Quwwa
E-5,Waram al-Qalb
E-5.1,Waram Udhun al-Qalb
E-5.2,Iltihāb Darūn-i-Qalb
E-6,Waram Ghishā’ al-Qalb
E-7,Imtilā’ Ghilāf al-Qalb
E-8,Ḍaghṭ al-Qalb
E-9,Taqashshur al-Qalb
E-10,Qadhf al-Qalb
E-11,Ghalaba al-Ruṭūba ‘ala’l Qalb/ Istisqā’ al-Qalb
E-12,Dukhāniyya al-Qalb/‘Illa Dukhāniyya
E-13,Jadhb al-Qalb
E-14,Iqfārī Maraḍ-i-Qalb
E-15,Al-Tanakhkhur al-Insidādī li ‘Aḍal al-Qalb
E-16,Takhaththur al-Dam
E-17,Quṣūr Iklīlī Ḥādd
E-18,Buṭū’ al-Qalb al-Jaybī
E-19,Sur‘a al-Qalb al-Jaybiyya
E-20,Zā’id Inqibāḍāt
E-21,Irti‘āsh Udhunī
E-22,Maraḍ al-Qalb al-Ḥudārī
E-23,Rafrafa Udhuniyya
E-24,Sur‘a al-Qalb Dawriyya
E-25,Sur‘a al-Qalb Baṭniyya
E-26,Fawq al-Baṭn Sur‘a al-Qalb
E-27,Insidād al-Qalb
E-28,Insidād Udhunī Jaybī
E-29,Insidād Baṭnī Udhunī
E-30,Insidād al-Qalb Kāmil
E-31,Insidād Shākh-i-Ḥuzma
E-32,Suqūṭ Dawrān al-Dam
E-33,Tawaqquf al-Qalb
E-34,Suqūṭ al-Baṭn al-Aysar
E-35,Suqūṭ al-Baṭn al-Ayman
E-36,Taqahqur Tājī
E-37,Taqahqur-i-Awriṭā
E-38,Ḍaghṭ al-Dam Qawī
E-38.1,Ḍaghṭ al-Dam Qawī Awwalī /Ḍaghṭ al-Dam Qawī Lāzimī/ Ḍaghṭ al-Dam Qawī Ibtidā’ī/ Ḍaghṭ al-Dam Qawī Dhātī/ Ḍaghṭ al-Dam Qawī Aṣlī
E-38.2,Ḍaghṭ al-Dam Qawī Thānwī
E-38.3,Ḍaghṭ al-Dam Qawī Khabīth
E-38.4,Ḍaghṭ al-Dam Qawī Ri’wī
E-38.5,Ḍaghṭ al-Dam Qawī Kulwī
E-39,Maftūḥ Qanāt Shiryānī
E-40,Taḍayyuq-i-Awriṭā
E-41,Naqṣ Ḥājizī Udhunī
E-42,Taṣallub al-Sharāyīn
E-43,Tasaddud Shaḥmī Kilsī
E-44,Iltihāb-i-Sharāyīn
E-45,Iltihāb-i-Awriṭā Ātshakī
E-46,Iltihāb Wi‘ā’ī Tasaddudī Takhaththurī
E-47,Anūrasmā
E-47.1,Anūrasmā Ḥaqīqī
E-47.2,Anūrasmā Kādhib
E-47.3,Anūrasmā Mighzalī
E-47.4,Anūrasmā Kīsī
E-47.5,Anūrasmā Tashrīḥī
E-47.6,Tamaddud al-Aw‘iya
F,Amrāḍ-i-Niẓām-i-Haḍm
F-1,Inṭibāq al-Marī
F-2,Tafarruq Ittiṣāl al-Marī
F-3,Qurūḥ al-Marī
F-4,Ḥikka al-Marī
F-5,Waram-i-Marī
F-6,Sū’-i-Mizāj-i-Mi‘da
F-7,Waja‘ al-Mi‘da
F-7.1,Waja‘ al-Mi‘da Riyāḥī
F-7.2,Waja‘ al-Mi‘da Ḥārr
F-7.3,Waja‘ al-Mi‘da Ṣafrāwī
F-7.4,Waja‘ al-Mi‘da Bārid Balghamī
F-7.5,Waja‘ al-Mi‘da Yābis Sawdāwī
F-7.6,Waja‘ al-Mi‘da Ḍu‘fī
F-8,Ḍu‘f al-Mi‘da
F-9,Ḍu‘f al-Haḍm
F-10,Fasād al-Haḍm/ Sū’ al-Haḍm
F-11,Tukhma
F-12,Buṭlān al-Haḍm
F-13,Hayḍa
F-13.1,Hayḍa Wabā’ī
F-14,Buṭlān al-Ishtihā’
F-15,Ḍu‘f al-Ishtihā’
F-16,Fasād al-Ishtihā’
F-17,Waḥam
F-18,Jū‘ al-Kalb/ Shahwat Kalbiyya
F-19,Jū‘ al-Baqar/Būlīmūs
F-20,Jū‘ al-Maghshī
F-21,‘Uṭāsh Mufriṭ
F-22,Waram al-Mi‘da
F-22.1,Waram al-Mi‘da Damawī
F-22.2,Waram al-Mi‘da Ṣafrāwī
F-22.3,Waram al-Mi‘da Balghamī
F-22.4,Waram al-Mi‘da Sawdāwī
F-23,Dubayla al-Mi‘da/ Khurāj al-Mi‘da
F-24,Qarḥa wa Buthūr al-Mi‘da
F-25,Qarāqir al-Mi‘da
F-26,Nafkh al-Mi‘da
F-27,Kathra al-Jushā’
F-28,Kathra al-Tathā’ub
F-29,Kathra al-Tamaṭṭī
F-30,Iḥtibās al-Jushā’
F-31,Qay’
F-31.1,Qay’ Shirkī
F-31.2,Qay’ Buḥrānī
F-31.3,Qay’ Dīdānī
F-31.4,Qay’ al-Dam
F-32,Tahawwu‘
F-33,Ghathayān
F-34,Taqallub al-Nafas
F-35,Injimād al-Dam fi’l Mi‘da
F-36,Injimād al-Laban fi’l Mi‘da
F-37,Tahalhul al-Mi‘da
F-38,Fuwāq
F-38.1,Fuwāq Rīḥī
F-39,Inqilāb al-Mi‘da
F-40,Karb al-Mi‘da
F-41,Ikhtilāj al-Mi‘da
F-42,Waja‘ al-Fuwād
F-43,Ḥurqa al-Mi‘da
F-44,Ḥikka al-Mi‘da
F-45,Istirkhā’ al-Mi‘da
F-46,Tashannuj al-Mi‘da
F-47,Ṣalāba al-Mi‘da/ Jus’a al-Mi‘da
F-48,Taṣaghghur al-Mi‘da
F-49,Kharq al-Mi‘da
F-50,Ḍu‘f al-Kabid
F-51,Sū’ Mizāj-i-Kabid
F-52,Sudad al-Kabid
F-53,Nafkh wa Riyāḥ al-Kabid
F-54,Waja‘ al-Kabid/ Kubād
F-55,Sharqa al-Kabid
F-56,Waram al-Kabid
F-56.1,Waram al-Kabid Ṣafrāwī
F-56.2,Waram al-Kabid Damawī
F-56.3,Waram al-Kabid Sawdāwī
F-56.4,Waram al-Kabid Balghamī
F-56.5,Waram al-Kabid Ṣulb Saraṭānī
F-57,Ḍarba wa Saqṭa al-Kabid
F-58,Tabaththur al-Kabid
F-59,Taṣaghghur al-Kabid/ Ṣughār al-Kabid/ Ḍumūr al-Kabid
F-60,‘Iẓam al-Kabid
F-61,Khafqa al-Kabid
F-62,Inshiqāq al-Kabid/ Infijār al-Kabid
F-63,Ṣalāba al-Kabid
F-64,Dubayla al-Kabid
F-65,Ḥaṣā al-Kabid
F-66,Sū’ al-Qinya
F-67,Fasād al-Dam
F-68,Faqr al-Dam
F-69,Istisqā’
F-69.1,Istisqā’ Laḥmī
