namaste_code,name
AAE-15,sirāgatavātaḥ
SP12(AAE-16),sandhigatavātaḥ
AAE-17,bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ
AA-1,kr̥cchrasādhyavātavyādhiḥ
AA-2,asādhyavātavyādhiḥ
AA-3,vātavyādhi-upadravaḥ
AA-4,vātavyādhi^^ariṣṭa
AB,pittavikāraḥ
ABA,dōṣāvasthā
SR16(ABA-1),pittasañcayaḥ
SR17(ABA-2),pittavṛddhiḥ
SR15(ABA-2.1),pittaprakopaḥ
SR18(ABA-3),pittaprasaraḥ
SR19(ABA-4),pittakṣayaḥ
ABB,nānātmajapittavikāraḥ
ABB-1(SK7Y),akṣipākaḥ
SN44(ABB-2),aṅga-durgandhaḥ
ABB-3(SP9Y),aṅgāvadaraṇam
ABB-4,atisvēdaḥ
ABB-5(SM7Y),atṛptiḥ
ABB-6(SM7Y),antardāhaḥ
ABB-7(SM3Y),amlakaḥ
ABB-8(SP9Y),aṃsadāhaḥ
SM10(ABB-9),āsyavipākaḥ
ABB-10(SP9Y),ūṣmādhikyam
ABB-11(SP9Y),oṣaḥ
ABB-12,kakṣā
ABB-13,kāmalā
ABB-14,galapākaḥ
ABB-15,gudapākaḥ/gudakuṭṭanam
ABB-16,jīvādānaḥ
ABB-17(SP98),"tamapraveśaḥ, tamaḥ-atidarśanam"
ABB-18,tiktāsyatā
ABB-19,tr̥ṣṇādhikyam
ABB-20,tvagavadaraṇam
ABB-21(SP9Y),tvagdāhaḥ
ABB-22(SP9Y),davaḥ
ABB-23(SP9Y),davathuḥ
ABB-24(SP9Y),dāhaḥ
ABB-25(SP9Y),"dhūmakaḥ, dhūmodgāraḥ"
ABB-26,akālapalitaḥ
SM15(ABB-27),pūtimukhatā
ABB-28(SP9Y),ploṣaḥ
ABB-29(SP2Y),māṃsakledaḥ
ABB-30(SP9Y),māṃsadāhaḥ
SN00(ABB-31),meḍhrapākaḥ
ABB-32,raktakōṭhaḥ
ABB-33,raktavisphōṭaḥ
ABB-34,raktapittam
ABB-35(SN5Y),raktamaṇḍalam
ABB-36,lōhitagandhāsyatā
ABB-37(SP9Y),vidāhaḥ
ABB-38,śōṇitaklēdaḥ
ABB-39,haritanētraḥ
ABB-40,haritamūtraḥ
ABB-41,haritavarcaḥ
ABB-45(SN9Y),carmadaraṇam
ABC,sthānaviśēṣa-kupitapittam
ABC-1,raktasthitapittakōpaḥ
ABC-2,māṁsasthitakaphakōpaḥ
ABC-3,mēdasthitapittakōpaḥ
ABC-4,asthisthitapittakōpaḥ
ABC-5,majjāsthitapittakōpaḥ
ABC-6,śukrasthitapittakōpaḥ
