namaste_code,name
GCA1.1,Aka Cūtaka Vaḷi
GD,Kaẕalai
GDC,Aiyam
GDC1.1,Karuppaitacai Vaṉkaẕalai
GDC1.2,Karuppai Kāmpu Kaẕalai
GE,Karppa Kirāṇi
GEA,Vaḷi
GEA1.1,Karppa Kirāṇi
GF,Perumpāṭu
GFA,Vaḷi
GFA1.1,Vāta Perumpāṭu
GFB,Aẕal
GFB1.1,Pitta Perumpāṭu
GFB1.2,Acātāraṇa Perumpāṭu
GFB1.3,Cātāraṇa Perumpāṭu
GFC,Aiyam
GFC1.1,Cētuma Perumpāṭu
GFD,Mukkuṟṟam
GFD1.1,Tonta Perumpāṭu
GG,Makaḷir Veḷḷai Nōy
GGB,Aẕal
GGB1.1,Veḷḷai Nōy
GH,Yōṉi Nōykaḷ
GHA,Vaḷi
GHA1.1,Cūlai Yōṉi
GHA1.2,Vāta Yōṉi
GHA1.3,Vali Yōṉi
GHA1.4,Vaṭi Yōṉi
GHA1.5,Tūḷita Yōṉi
GHA1.6,Pūppukāla Yōṉi
GHB,Aẕal
GHB1.1,Pitta Yōṉi
GHB1.2,Kuruti Yōṉi
GHB1.3,Kuruti Cīẕ Yōṉi
GHB1.4,Kotippu Yōṉi
GHB1.5,Cuṭka Yōṉi
GHB1.6,Civappu Yōṉi
GHB1.7,Napuñcaka Yōṉi
GHB1.8,Aticāraṇa Yōṉi
GHB1.9,Kirumi Yōṉi
GHB1.10,Viparīta Yōṉi
GHC,Aiyam
GHC1.1,Aiya Yōṉi
GHC1.2,Kōẕai Yōṉi
GHC1.3,Makā Yōṉi
GHC1.4,Tamaraka Yōṉi
H,Kātu Mūkku Toṇṭai Nōykaḷ
HA,Mūkku Nōykaḷ
HAA,Vaḷi
HAA1.1,Karappāṉ
HAA1.2,Piḷavai
HAC,Aiyam
HAC1.1,Nācikāpīṭam
HAC1.2,Kaẕalai
HAC1.3,Paru
HB,Cevi Nōy
HBA,Vaḷi
HBA1.1,Curōṇita Cevivaḷi
HBA1.2,Viraṇa Cevi Vaḷi
HBA1.3,Ceviviṟai Vaḷi
HBA1.4,Cevi Timir Vaḷi
HBA1.5,Vāyu Cevi Cūlai
HBA1.6,Tēmalkātu Karappāṉ
HBA1.7,Coṟi Kātu Karappāṉ
HBA1.8,Pokkikātu Karappāṉ
HBA1.9,Veṭikātu Karappāṉ
HBA1.10,Aẕukaṉṉikātu Karappāṉ
HBA1.11,Iraṇa Cevi Eẕucci
HBA1.12,Curam Cevi Eẕucci
HBA1.13,Caruma Cevi Kuṭṭam
HBA1.14,karuṅ Cevi Kuṭṭam
HBA1.15,Kaṭuppu Cevi Kuṭṭam
HBA1.16,Kaṭi Cevi Kuṭṭam
HBA1.17,Vaḷi Piḷavai
HBA1.18,Kuruti Cevi Paru
HBA1.19,Kuṉṟi Cevi Paru
HBA1.20,Viṭa Cevi Paru
HBB,Aẕal
HBB1.1,Puḷḷi Cevi Kuṭṭam
HBB1.2,Cevi Ceṅkuṭṭam
HBB1.3,Curam Cevi Cūlai
HBB1.4,Kuruti Cevi Kuṭṭam
HBB1.5,Cennīr Cevi Kuṭṭam
HBB1.6,Viṭa Cevi Kuṭṭam
HBB1.7,Aṉaṟ Cevi Paru
HBB1.8,Cennīr Cevi Eẕucci
HBB1.9,Kollikātu Karappāṉ
HBB1.10,Akkikātu Karappāṉ
HBB1.11,Nīr Kātu Karappāṉ
HBC,Aiyam
HBC1.1,Veṇ Cevi Kuṭṭam
HBC1.2,Kuṉṟi Piḷavai
HBC1.3,Maṅkiṣa Cevi Cūlai
HBC1.4,Aiyam
HBC1.5,Cīẕ Cevi Eẕucci
HBC1.6,Nīr Cevi Eẕucci
HBC1.7,Pokki Cevi Paru
HBC1.8,Viraṇa Cevi Paru
HBC1.9,Kuvai Cevi Paru
HBC1.10,Nīr Cevi Paru
HBC1.11,Nīr Cevi Cūlai
HBC1.12,Nīrpiḷavai
HBC1.13,Kaẕalai Piḷavai
HBD,Mukkuṟṟam
HBD1.1,Cīẕ Cevi Caṉṉi
HBD1.2,Kuruti Cevi Caṉṉi
HBD1.3,Nīr Cevi Caṉṉi
HBD1.4,Vaḷi Cevi Caṉṉi
HBD1.5,Mukkuṟṟa Cevieẕucci
HC,Vāy Nōykaḷ
HCA,Vaḷi
HCA1.1,Vaḷi Utaṭunōy
HCA1.2,Kuṭṭa Utaṭunōy
HCB,Aẕal
HCB1.1,Aẕal Utaṭunōy
HCB1.2,Catai Utaṭunōy
HCB1.3,Kuruti Utaṭunōy
HCB1.4,Veṭippu Utaṭunōy
HCC,Aiyam
HCC1.1,Aiya Utaṭunōy
HCC1.2,Nīr Utaṭunōy
HCC1.3,Miṉumuṉuppu Utaṭunōy
HCC1.4,Utaṭṭil Aṭipaṭṭa Vīkkam
HCD,Mukkuṟṟam
HCD1.1,Mukkuṟṟa Utaṭunōy
HD,Nākku Nōykaḷ
HDB,Aẕal
HDB1.1,Nākku Nōykaḷ
I,Nāḷamillā Curappi Nōykaḷ
J,Toṟṟu Nōykaḷ
JA,Ammai Nōy
JAB,Aẕal
JAB1.1,Kaṭuku Ammai
JAB1.2,Kallutari Ammai
JAB1.3,Karumpaṉicai Ammai
JAB1.4,Koḷḷammai
JAB1.5,Kuḷuvaṉ Ammai
JAB1.6,Miḷakammai
JAB1.7,Pācippayaṟṟammai
JAB1.8,Paṉaimukari Ammai
JAB1.9,Varakutari Ammai
JAB1.10,Viccarippu Ammai
JAC,Aiyam
JAC1.1,Pāl Ammai
JAC1.2,Upputiri Ammai
JAC1.3,Ventaya Ammai
JAD,Mukkuṟṟam
JAD1.1,Tavaḷai Ammai
JB,Iḷaippu Nōy
JBA,Vaḷi
JBA1.1,Atōkata Tōṭam
JBA1.2,Kōṭṭakata Tōṭam
JBA1.3,Tiriyakkata Tōṭam
JBA1.4,Ūrttuvakata Tōṭam
JC,Ūẕi Nōy
JCA,Vaḷi
JCA1.1,Vaḷi Ūẕi
JCB,Aẕal
JCB1.1,Aẕal Ūẕi
JCC,Aiyam
JCC1.1,Aiya Ūẕi
JD,Uḷaimāntai
JDA,Vaḷi
JDA1.1,Vāta Uḷaimāntai
JDB,Aẕal
JDB1.1,Pitta Uḷaimāntai
JDC,Aiyam
JDC1.1,Kapa Uḷaimāntai
JDD,Mukkuṟṟam
JDD1.1,Tiritōṭa Uḷaimāntai
K,Uḷa Nōykaḷ
KA,Piramai
KAA,Vaḷi
KAA1.1,Vāta Piramai
KAB,Aẕal
KAB1.1,Pitta Piramamai
KAC,Aiyam
KAC1.1,Kapa Piramai
KB,Kirikai
KBA,Vaḷi
KBA1.1,Vāta Kirikai
KBA1.2,Nātavintu Kirikai
KBA1.3,Muṉaṅkal Kirikai
KBA1.4,Valippu Kirikai
KBA1.5,Pēypiṭi Kirikai
KBB,Aẕal
KBB1.1,Aṉaṟkirikai
KBB1.2,Pitta Kirikai
KBB1.3,Eccil Kirikai
KBB1.4,Pūta Kirikai
KBB1.5,Jala Kirikai
KBB1.6,Kal Eri Kirikai
KBB1.7,Kumpiṭu Kirikai
KBB1.8,Alaṟu Kirikai
KBB1.9,Maruṭ Kirikai
KBC,Aiyam
KBC1.1,Cilēttumak Kirikai
KBC1.2,Mōkiṉik Kirikai
KBC1.3,Mūṭu Kirikai
KBC1.4,Nīrkuṭi Kirikai
KC,Kuṭi Veṟi Nōy
KCB,Aẕal
KCB1.1,Kuṭi Veṟi Nōy
KD,Matāẕivu
KDA,Vaḷi
KDA1.1,Vaḷi Mataẕivu
KDA1.2,Vaṉmaikēṭu Mataẕivu
KDB,Aẕal
KDB1.1,Aẕal Mataaẕivu
KDC,Aiyam
KDC1.1,Aiya Mataaẕivu
KDC1.2,Uṭaṟkēṭu
KDD,Mukkuṟṟam
KDD1.1,Mukkuṟṟa Mataaẕivu
KE,Mayakkanōy
KEA,Vaḷi
KEA1.1,Vaḷi Mayakkanōy
KEB,Aẕal
KEB1.1,Aẕal Mayakkanōy
KEB1.2,Kuruti Mayakkanōy
KEC,Aiyam
KEC1.1,Aiya Mayakkanōy
KEC1.2,Nañcu Mayakkam
KED,Mukkuṟṟam
KED1.1,Mukkuṟṟa Mayakkanōy
KF,Cerukku Nōy
KFA,Vaḷi
KFA1.1,Vaḷi Cerukku Nōy
KFB,Aẕal
KFB1.1,Aẕal Cerukku Nōy
KFB1.2,Kuruti Cerukku Nōy
KFC,Aiyam
KFC1.1,Aiya Cerukku Nōy
KFD,Mukkuṟṟam
KFD1.1,Mukkuṟṟa Cerukku Nōy
KG,Cūtikavātam
KGA,Vaḷi
KGA1.1,Cūtikavātam
KH,Veṟi
KHA,Vaḷi
KHA1.1,Vaḷi Veṟi
KHB,Aẕal
KHB1.1,Aẕal Veṟi
KHB1.2,Nañcu Veṟi
KHC,Aiyam
KHC1.1,Aiya Veṟi
KHC1.2,Cōka Veṟi
KHD,Mukkuṟṟam
KHD1.1,Mukkuṟṟa Veṟi
L,Irutaya Nōykaḷ
LA,Kuruti Aẕal Nōy
LAA,Vaḷi
LAA1.1,Vaḷi Kurutiyaẕal Nōy
LAA1.2,Vaḷitī Kurutiyaẕal Nōy
LAA1.3,Vaḷi Aiya Kurutiyaẕal Nōy
LAB,Aẕal
LAB1.1,Tīkkurutiyaẕal Nōy
LAC,nan
LAC1.1,Aiya Kurutiyaẕal Nōy
LAC1.2,Aiyavaḷi Kurutiyaẕal Nōy
LAC1.3,Aiya Aẕal Kurutiyaẕal Nōy
LAD,Mukkuṟṟam
LAD1.1,Mukkuṟṟa Kurutiyaẕal Nōy
LB,Tamaraka Nōy
LBA,Vaḷi
LBA1.1,Vāta Tamaraka Nōy
LBB,Aẕal
LBB1.1,Pitta Tamaraka Nōy
LBC,Aiyam
LBC1.1,Kapa Tamaraka Nōy
LBD,Mukkuṟṟam
LBD1.1,Mukkuṟṟa Tamaraka Nōy
M,Iṉapperukka Nōykaḷ
MA,Āṇ Malaṭu
MAA,Vaḷi
MAA1.1,Āṇ Malaṭu
MB,Peṇ Malaṭu
MBA,Vaḷi
MBA1.1,Kāka Malaṭu
MBA1.2,Kataḷi Malaṭu
MBA1.3,Cutta Malaṭu
MC,Puṇarcci Nōykaḷ
MCB,Aẕal
MCB1.1,Puṇarcci Vali
MD,Āṇkuṟi Nōykaḷ
MDA,Vaḷi
MDA1.1,Tāmaraikkāyttaṭippu
MDA1.2,Timirkkuṟi Nōy
MDB,Aẕal
MDB1.1,Eri Puṇ
MDB1.2,Kaṭuku Koppuḷam
MDB1.3,Karippuṇ
MDB1.4,Kaṟppuṇ
MDB1.5,Karumaruḷ Tiraṭcippuṇ
MDB1.6,Nerukkukiranti
MDB1.7,Ūṇ Aẕippuṇ
MDB1.8,Paravu Kaṭṭippuṇ
MDB1.9,Piḷappupuṇ
MDB1.10,Cenniṟak Koppuḷam
MDB1.11,Ciṟu Koppuḷappuṇ
MDB1.12,Tōl Aẕippuṇ
MDB1.13,Tōl Taṭaippuṇ
MDB1.14,Tuḷaippuṇ
MDB1.15,Varicaippuṇ
MDB1.16,Vīral Koppuḷam
MDC,Aiyam
MDC1.1,Ilantaikkāykaṭṭi
MDC1.2,Ūṇniṟakkaṭṭi
MDC1.3,Ciṟumuḷai
MDC1.4,Veṇmēkappuṇ
ME,Vitai Nōykaḷ
MEA,Vaḷi
MEA1.1,Kuṭal Vitai Nōy
MEA1.2,Kumuṟal Vitai Nōy
MEC,Aiyam
MEC1.1,Nīr Vitai Nōy
MEC1.2,Cataivitai Nōy
N,Kaṇ Nōykaḷ
